id	group
#methods	no
#type	no
#descriptions	group
Adult_Adrenalgland	Adult_Adrenalgland
Adult_Bcells	Adult_Bcells
Adult_CD4Tcells	Adult_CD4Tcells
Adult_CD8Tcells	Adult_CD8Tcells
Adult_Colon	Adult_Colon
Adult_Esophagus	Adult_Esophagus
Adult_Frontalcortex	Adult_Frontalcortex
Adult_Gallbladder	Adult_Gallbladder
Adult_Heart	Adult_Heart
Adult_Kidney	Adult_Kidney
Adult_Liver	Adult_Liver
Adult_Lung	Adult_Lung
Adult_Monocytes	Adult_Monocytes
Adult_NKcells	Adult_NKcells
Adult_Ovary	Adult_Ovary
Adult_Pancreas	Adult_Pancreas
Adult_Platelets	Adult_Platelets
Adult_Prostate	Adult_Prostate
Adult_Rectum	Adult_Rectum
Adult_Retina	Adult_Retina
Adult_Spinalcord	Adult_Spinalcord
Adult_Testis	Adult_Testis
Adult_Urinarybladder	Adult_Urinarybladder
Fetal_Brain	Fetal_Brain
Fetal_Gut	Fetal_Gut
Fetal_Heart	Fetal_Heart
Fetal_Liver	Fetal_Liver
Fetal_Ovary	Fetal_Ovary
Fetal_Placenta	Fetal_Placenta
Fetal_Testis	Fetal_Testis